iter	Passed	Remaining
347	1080	2024
348	1083	2020
349	1086	2016
350	1088	2012
351	1090	2008
352	1093	2003
353	1095	1999
354	1098	1995
355	1100	1991
356	1103	1986
357	1105	1982
358	1108	1978
359	1110	1974
360	1113	1970
361	1115	1966
362	1117	1961
363	1120	1957
364	1122	1953
365	1125	1949
366	1127	1945
367	1130	1941
368	1132	1937
369	1135	1933
370	1137	1928
371	1140	1924
372	1142	1920
373	1144	1915
374	1147	1912
375	1149	1907
376	1151	1903
377	1154	1899
378	1156	1895
379	1159	1891
380	1161	1887
381	1164	1883
382	1166	1879
383	1169	1875
384	1171	1871
385	1174	1867
386	1176	1863
387	1179	1859
388	1181	1855
389	1183	1851
390	1185	1847
391	1188	1843
392	1191	1839
393	1193	1835
394	1195	1831
395	1198	1827
396	1200	1823
397	1203	1820
398	1205	1816
399	1208	1812
400	1210	1808
401	1213	1804
402	1215	1800
403	1217	1796
404	1220	1792
405	1222	1788
406	1224	1784
407	1227	1780
408	1229	1776
409	1232	1773
410	1234	1769
411	1236	1765
412	1239	1761
413	1241	1757
414	1244	1753
415	1246	1749
416	1248	1745
417	1250	1741
418	1252	1737
419	1255	1733
420	1257	1729
421	1260	1726
422	1262	1722
423	1264	1718
424	1267	1714
425	1269	1711
426	1272	1707
427	1274	1703
428	1276	1699
429	1279	1695
430	1281	1692
431	1284	1688
432	1286	1684
433	1289	1681
434	1291	1677
435	1294	1674
436	1296	1670
437	1298	1666
438	1301	1663
439	1305	1661
440	1310	1660
441	1315	1661
442	1319	1659
443	1325	1659
444	1328	1656
445	1334	1657
446	1338	1656
447	1343	1655
448	1347	1653
449	1351	1652
450	1355	1650
451	1359	1647
452	1363	1646
453	1367	1644
454	1371	1642
455	1375	1641
456	1379	1639
457	1383	1637
458	1387	1635
459	1391	1633
460	1396	1632
461	1400	1630
462	1403	1628
463	1408	1626
464	1411	1624
465	1417	1623
466	1421	1621
467	1424	1619
468	1430	1619
469	1433	1616
470	1438	1615
471	1443	1614
472	1447	1612
473	1450	1609
474	1454	1607
475	1458	1605
476	1462	1603
477	1465	1600
478	1468	1597
479	1471	1594
480	1474	1590
481	1477	1587
482	1480	1584
483	1483	1582
484	1486	1578
485	1489	1574
486	1492	1571
487	1494	1568
488	1498	1565
489	1501	1562
490	1504	1559
491	1507	1556
492	1511	1554
493	1515	1551
494	1518	1549
495	1521	1546
496	1524	1542
497	1526	1539
498	1529	1535
499	1532	1532
500	1534	1528
501	1537	1525
502	1540	1522
503	1543	1518
504	1546	1515
505	1548	1512
506	1551	1508
507	1554	1505
508	1557	1502
509	1559	1498
510	1561	1494
511	1564	1490
512	1566	1487
513	1569	1483
514	1571	1480
515	1574	1477
516	1577	1473
517	1579	1470
518	1582	1466
519	1586	1464
520	1588	1460
521	1591	1457
522	1594	1454
523	1596	1450
524	1599	1447
525	1602	1443
526	1605	1440
527	1607	1437
528	1610	1433
529	1613	1430
530	1616	1427
531	1618	1423
532	1620	1420
533	1623	1416
534	1625	1413
535	1628	1409
536	1630	1406
537	1633	1402
538	1636	1399
539	1638	1396
540	1641	1392
541	1643	1388
542	1646	1385
543	1648	1382
544	1651	1378
545	1653	1374
546	1655	1371
547	1658	1367
548	1660	1364
549	1662	1360
550	1665	1357
551	1667	1353
552	1670	1350
553	1672	1346
554	1675	1343
555	1677	1339
556	1680	1336
557	1683	1333
558	1685	1329
559	1687	1325
560	1689	1322
561	1692	1318
562	1694	1315
563	1697	1311
564	1699	1308
565	1701	1304
566	1704	1301
567	1706	1297
568	1708	1294
569	1710	1290
570	1713	1287
571	1715	1283
572	1718	1280
573	1720	1277
574	1723	1273
575	1725	1270
576	1727	1266
577	1730	1263
578	1732	1259
579	1735	1256
580	1737	1252
581	1740	1249
582	1742	1246
583	1744	1242
584	1747	1239
585	1749	1236
586	1752	1232
587	1754	1229
588	1757	1226
589	1759	1222
590	1761	1219
591	1764	1215
592	1766	1212
593	1768	1209
594	1771	1205
595	1773	1202
596	1776	1199
597	1778	1195
598	1781	1192
599	1783	1189
600	1785	1185
601	1788	1182
602	1790	1179
603	1793	1175
604	1795	1172
605	1798	1169
606	1800	1165
607	1802	1162
608	1805	1159
609	1808	1155
610	1810	1152
611	1813	1149
612	1815	1146
613	1817	1142
614	1820	1139
615	1823	1136
616	1825	1133
617	1828	1130
618	1830	1126
619	1833	1123
620	1835	1120
621	1837	1116
622	1840	1113
623	1842	1110
624	1845	1107
625	1847	1103
626	1850	1100
627	1852	1097
628	1855	1094
629	1857	1090
630	1859	1087
631	1862	1084
632	1864	1081
633	1867	1077
634	1869	1074
635	1871	1071
636	1874	1068
637	1876	1064
638	1878	1061
639	1881	1058
640	1883	1055
641	1886	1051
642	1888	1048
643	1891	1045
644	1893	1042
645	1895	1038
646	1898	1035
647	1900	1032
648	1902	1029
649	1905	1026
650	1907	1022
651	1910	1019
652	1912	1016
653	1915	1013
654	1917	1010
655	1920	1006
656	1922	1003
657	1925	1000
658	1927	997
659	1929	993
660	1931	990
661	1934	987
662	1936	984
663	1938	981
664	1941	977
665	1943	974
666	1945	971
667	1947	968
668	1950	964
669	1952	961
670	1955	958
671	1957	955
672	1959	952
673	1962	949
674	1964	946
675	1967	942
676	1969	939
677	1971	936
678	1974	933
679	1976	930
680	1979	927
681	1981	924
682	1984	920
683	1986	917
684	1988	914
685	1991	911
686	1993	908
687	1996	905
688	1998	902
689	2001	899
690	2003	895
691	2005	892
692	2008	889
693	2011	886
694	2013	883
695	2016	880
696	2018	877
697	2021	874
698	2023	871
699	2025	867
700	2027	864
701	2030	861
702	2032	858
703	2034	855
704	2037	852
705	2039	849
706	2042	846
707	2044	843
708	2046	839
709	2048	836
710	2050	833
711	2052	830
712	2054	826
713	2056	823
714	2059	820
715	2061	817
716	2064	814
717	2066	811
718	2068	808
719	2071	805
720	2073	802
721	2076	799
722	2078	796
723	2081	793
724	2083	790
725	2085	787
726	2088	784
727	2090	781
728	2093	778
729	2095	775
730	2097	771
731	2100	768
732	2102	765
733	2105	762
734	2107	759
735	2109	756
736	2111	753
737	2114	750
738	2116	747
739	2119	744
740	2121	741
741	2124	738
742	2126	735
743	2128	732
744	2130	729
745	2133	726
746	2135	723
747	2138	720
748	2140	717
749	2143	714
750	2145	711
751	2147	708
752	2150	705
753	2152	702
754	2155	699
755	2157	696
756	2159	693
757	2162	690
758	2164	687
759	2166	684
760	2169	681
761	2172	678
762	2174	675
763	2177	672
764	2179	669
765	2181	666
766	2184	663
767	2187	660
768	2189	657
769	2192	654
770	2194	651
771	2196	648
772	2199	645
773	2201	642
774	2204	639
775	2206	636
776	2208	633
777	2211	631
778	2213	628
779	2216	625
780	2218	622
781	2220	619
782	2223	616
783	2225	613
784	2227	610
785	2230	607
786	2232	604
787	2235	601
788	2237	598
789	2240	595
790	2242	592
791	2244	589
792	2247	586
793	2249	583
794	2252	580
795	2254	577
796	2256	574
797	2259	571
798	2261	568
799	2264	566
800	2266	563
801	2268	560
802	2271	557
803	2273	554
804	2275	551
805	2278	548
806	2280	545
807	2283	542
808	2285	539
809	2287	536
810	2290	533
811	2293	530
812	2295	528
813	2297	525
814	2300	522
815	2302	519
816	2305	516
817	2307	513
818	2310	510
819	2312	507
820	2314	504
821	2317	501
822	2319	498
823	2322	496
824	2324	493
825	2327	490
826	2329	487
827	2331	484
828	2333	481
829	2336	478
830	2338	475
831	2341	472
832	2343	469
833	2345	466
834	2348	463
835	2350	461
836	2352	458
837	2355	455
838	2358	452
839	2360	449
840	2362	446
841	2365	443
842	2367	440
843	2370	438
844	2373	435
845	2375	432
846	2378	429
847	2380	426
848	2382	423
849	2385	420
850	2387	418
851	2389	415
852	2392	412
853	2394	409
854	2397	406
855	2399	403
856	2402	400
857	2403	397
858	2406	394
859	2408	392
860	2410	389
861	2413	386
862	2415	383
863	2417	380
864	2420	377
865	2422	374
866	2424	371
867	2427	369
868	2429	366
869	2432	363
870	2434	360
871	2437	357
872	2439	354
873	2442	352
874	2444	349
875	2447	346
876	2449	343
877	2451	340
878	2454	337
879	2456	334
880	2458	332
881	2461	329
882	2463	326
883	2465	323
884	2468	320
885	2470	317
886	2473	315
887	2475	312
888	2477	309
889	2480	306
890	2482	303
891	2485	300
892	2487	298
893	2489	295
894	2491	292
895	2493	289
896	2495	286
897	2497	283
898	2499	280
899	2501	277
900	2503	275
901	2506	272
902	2508	269
903	2510	266
904	2512	263
905	2514	260
906	2516	258
907	2519	255
908	2521	252
909	2524	249
910	2526	246
911	2528	243
912	2530	241
913	2533	238
914	2535	235
915	2538	232
916	2540	229
917	2543	227
918	2545	224
919	2548	221
920	2550	218
921	2553	216
922	2555	213
923	2557	210
924	2560	207
925	2562	204
926	2565	202
927	2567	199
928	2570	196
929	2572	193
930	2574	190
931	2577	188
932	2580	185
933	2582	182
934	2584	179
935	2587	176
936	2589	174
937	2592	171
938	2594	168
939	2597	165
940	2599	162
941	2601	160
942	2606	157
943	2611	154
944	2616	152
945	2621	149
946	2626	147
947	2630	144
948	2635	141
949	2638	138
950	2641	136
951	2644	133
952	2648	130
953	2652	127
954	2655	125
955	2658	122
956	2663	119
957	2666	116
958	2670	114
959	2674	111
960	2677	108
961	2680	105
962	2683	103
963	2687	100
964	2690	97
965	2693	94
966	2696	92
967	2699	89
968	2702	86
969	2705	83
970	2708	80
971	2711	78
972	2714	75
973	2716	72
974	2720	69
975	2722	66
976	2725	64
977	2727	61
978	2730	58
979	2733	55
980	2736	52
981	2738	50
982	2741	47
983	2744	44
984	2747	41
985	2750	39
986	2753	36
987	2756	33
988	2758	30
989	2761	27
990	2763	25
991	2766	22
992	2768	19
993	2771	16
994	2773	13
995	2776	11
996	2778	8
997	2780	5
998	2783	2
999	2785	0
